package,direct_dependencies,dep_count_all
"azurelinux-repos",,0
bash,"filesystem|glibc|ncurses-libs",16
"bash-completion",bash,16
coreutils,"coreutils-common|filesystem|glibc|gmp|libacl|libattr|libcap|libselinux|openssl-libs|systemd-libs",44
cpio,glibc,16
"findutils","glibc|libselinux",20
glibc,"filesystem|glibc-common|glibc-langpack-en|glibc-minimal-langpack|libgcc",16
"glibc-langpack-en","glibc|glibc-common",16
"ncurses","glibc|ncurses-libs",16
"ncurses-base",,0
"ncurses-libs","glibc|ncurses-base",16
pam,"audit-libs|authselect|bash|filesystem|gdbm|gdbm-libs|glibc|libeconf|libnsl2|libpwquality|libselinux|libtirpc|libxcrypt|openssl-libs|pam-libs|setup",60
"readline","glibc|ncurses-libs",16
sed,"glibc|libacl|libselinux",22
shadow-utils,"audit-libs|filesystem|glibc|libacl|libeconf|libselinux|libsemanage|libxcrypt|pam-libs|setup",29
shadow-utils-subid,"audit-libs|glibc|libacl|libattr|libeconf|libselinux|libsemanage|libxcrypt|pam-libs",29
systemd,"audit-libs|bash|coreutils|dbus|filesystem|glibc|grep|libacl|libblkid|libcap|libfdisk|libgcc|libmount|libseccomp|libselinux|openssl-libs|pam-libs|systemd-libs|systemd-pam|systemd-shared|systemd-standalone-sysusers|util-linux|util-linux-core",62
systemd-libs,glibc|libcap|libgcc,21
"util-linux","audit-libs|authselect-libs|bash|coreutils|filesystem|glibc|libblkid|libcap-ng|libfdisk|libgcc|liblastlog2|libmount|libselinux|libsmartcols|libuuid|ncurses-libs|pam-libs|readline|systemd-libs|util-linux-core|zlib-ng-compat",55
which,coreutils|glibc,44
audit,audit-libs|audit-rules|bash|coreutils|filesystem|glibc|krb5-libs|systemd,67
audit-libs,"glibc|libcap-ng",17
cyrus-sasl-lib,filesystem|gdbm-libs|glibc|libxcrypt,18
"gnutls","crypto-policies|glibc|gmp|libidn2|libtasn1|libunistring|nettle|p11-kit|p11-kit-trust",26
gpgme,"glibc|gnupg2|libassuan|libgpg-error",72
libacl,glibc|libattr,17
libattr,glibc,16
libgcrypt,glibc|libgpg-error,17
libgpg-error,glibc,16
"libselinux",glibc|libsepol|pcre2,19
"openssh","audit-libs|glibc|libselinux|openssl-libs|util-linux",56
"openssh-clients","bash|crypto-policies|glibc|krb5-libs|libedit|libfido2|libselinux|openssh|openssl-libs|zlib-ng-compat",64
"openssh-server","audit-libs|bash|crypto-policies|filesystem|glibc|krb5-libs|libcom_err|libselinux|libxcrypt|openssh|openssl-libs|pam|pam-libs|shadow-utils|systemd|zlib-ng-compat",80
"openssl","coreutils|glibc|openssl-libs",44
"openssl-libs","ca-certificates|crypto-policies|glibc|zlib-ng-compat",44
policycoreutils,"audit-libs|bash|coreutils|diffutils|filesystem|gawk|glibc|grep|libselinux|libselinux-utils|libsemanage|libsepol|sed|util-linux",62
"selinux-policy-targeted","bash|coreutils|policycoreutils|selinux-policy",97
sudo,"audit-libs|filesystem|glibc|libselinux|openldap|openssl-libs|pam|pam-libs|zlib-ng-compat",65
"WALinuxAgent","bash|filesystem|iptables-legacy|logrotate|ntfsprogs|openssh|openssh-server|openssl|parted|python3|python3-crypt-r|python3-distro|systemd|WALinuxAgent-udev",111
azure-vm-utils,"bash|filesystem|glibc|json-c|util-linux",57
"cloud-init","bash|dhcpcd|e2fsprogs|hostname|iproute|nmap-ncat|openssl|procps-ng|python3|python3-configobj|python3-jinja2|python3-jsonpatch|python3-jsonschema|python3-libselinux|python3-oauthlib|python3-policycoreutils|python3-pyyaml|python3-requests|shadow-utils|systemd|util-linux|xfsprogs",122
cloud-utils-growpart,"bash|gawk|util-linux",58
"hyperv-daemons",hypervfcopyd|hypervkvpd|hypervvssd,66
"hyperv-daemons-license",,0
hypervfcopyd,"bash|filesystem|glibc|hyperv-daemons-license|systemd",63
hypervkvpd,"bash|filesystem|glibc|hyperv-daemons-license|systemd",63
hypervvssd,"bash|filesystem|glibc|hyperv-daemons-license|systemd",63
dracut,"bash|coreutils|cpio|filesystem|findutils|glibc|grep|kmod|kmod-libs|libgcc|libkcapi-hmaccalc|openssl-libs|procps-ng|sed|systemd|systemd-udev|util-linux|xz|zstd",87
dracut-kiwi-oem-repart,bash|dracut-kiwi-lib,139
"grub2-tools-minimal","bash|device-mapper-libs|filesystem|fuse3-libs|gettext-runtime|glibc|grub2-common|xz-libs",74
grubby,"bash|filesystem|findutils|grub2-tools|grub2-tools-minimal|util-linux",101
"kernel","kernel-core|kernel-modules|kernel-modules-core",91
"kernel-modules","bash|kernel-core|kernel-modules-core",90
kmod,"filesystem|glibc|libgcc|libzstd|openssl-libs|pkgconf-pkg-config|xz-libs|zlib-ng-compat",50
grub2,,0
"dnf",,0
"dnf-data","libdnf5",92
"dnf-plugins-core","python3-dnf-plugins-core",137
"libdnf","glib2|glibc|json-c|libgcc|libmodulemd|librepo|libsmartcols|libsolv|libstdc++|rpm-libs|sqlite-libs",91
rpm,bash|coreutils|curl|glibc|libarchive|popt|rpm-libs,78
rpm-build-libs,"elfutils-libelf|elfutils-libs|file-libs|glibc|libcap|libgcc|libgomp|libstdc++|lua-libs|popt|rpm-libs|rpm-sign-libs",104
rpm-libs,"bzip2-libs|glibc|libacl|libcap|libgcc|libstdc++|libzstd|lua-libs|popt|rpm|rpm-sequoia|sqlite-libs|systemd-standalone-sysusers|xz-libs|zlib-ng-compat",78
curl,bash|glibc|libcurl,63
dhcpcd,bash|filesystem|glibc|systemd|systemd-libs,62
iproute,"elfutils-libelf|filesystem|glibc|libbpf|libcap|libmnl|libselinux|psmisc",31
iputils,"filesystem|glibc|libcap|libidn2",23
"systemd-networkd",bash|glibc|libgcc|systemd|systemd-shared,62
iptables,,0
bzip2-libs,glibc,16
gzip,bash|coreutils|glibc,44
tar,"glibc|libacl|libselinux",22
xz,bash|glibc|grep|xz-libs,20
xz-libs,glibc,16
zstd,"bash|glibc|libgcc|libstdc++|lz4-libs|xz-libs|zlib-ng-compat",20
e2fsprogs,e2fsprogs-libs|filesystem|fuse3-libs|glibc|libblkid|libcom_err|libss|libuuid,22
e2fsprogs-libs,glibc|libcom_err,17
lvm2,"bash|device-mapper-event-libs|device-mapper-persistent-data|filesystem|glibc|kmod|libaio|libblkid|libedit|libselinux|lvm2-libs|systemd|systemd-libs",77
parted,"device-mapper-libs|filesystem|glibc|libblkid|libuuid|ncurses-libs|readline",64
xfsprogs,"bash|filesystem|glibc|inih|libblkid|libedit|libuuid|userspace-rcu",21
cryptsetup,cryptsetup-libs|filesystem|glibc|libblkid|libpwquality|libuuid|popt,70
dbus,,0
device-mapper,"bash|device-mapper-libs|filesystem|glibc|systemd|util-linux-core",64
"device-mapper-event","bash|device-mapper|device-mapper-event-libs|device-mapper-libs|filesystem|glibc|libgcc|systemd",65
"device-mapper-event-libs",device-mapper-libs|glibc,64
device-mapper-libs,"device-mapper|glibc|libselinux|systemd-libs",64
pciutils-libs,glibc,16
systemd-udev,"bash|cryptsetup-libs|filesystem|glibc|grep|kbd|kmod|kmod-libs|libblkid|libfdisk|libgcc|libselinux|openssl-libs|systemd|systemd-shared",77
"python3","glibc|python3-libs",56
"python3-charset-normalizer","python3",57
"python3-configobj","python3",57
"python3-dbus","dbus-libs|glib2|glibc|python3",65
"python3-distro","python3",57
"python3-dnf","dnf-data|libmodulemd|python3|python3-hawkey|python3-libcomps|python3-libdnf|python3-rpm",129
"python3-hawkey","glib2|glibc|libdnf|libgcc|libsolv|libstdc++|python3|python3-libdnf|python3-libs",100
"python3-idna","python3",57
"python3-jinja2","python3|python3-markupsafe",58
"python3-jsonpatch","python3|python3-jsonpointer",58
"python3-jsonpointer","python3",57
"python3-jsonschema","python3|python3-attrs|python3-jsonschema-specifications|python3-referencing|python3-rpds-py",61
"python3-libcomps","glibc|libcomps|python3|python3-libs|zlib-ng-compat",59
"python3-libdnf","glibc|libdnf|libgcc|libsmartcols|libstdc++|python3|python3-libs",99
"python3-libs","bash|bzip2-libs|expat|gdbm-libs|glibc|libffi|libuuid|libzstd|mpdecimal|ncurses-libs|openssl-libs|python-pip-wheel|readline|sqlite-libs|tzdata|xz-libs|zlib-ng-compat",55
"python3-markupsafe","glibc|python3",57
"python3-oauthlib","python3",57
"python3-requests","python3",57
"python3-rpm","glibc|python3|rpm-build-libs|rpm-libs|rpm-sign-libs",111
"python3-setuptools","python3",57
"python3-six","python3",57
"python3-urllib3","ca-certificates|python3|python3-idna",58
libaio,glibc,16
libarchive,"bzip2-libs|glibc|libacl|libxml2|libzstd|lz4-libs|openssl-libs|xz-libs|zlib-ng-compat",49
"libassuan",glibc|libgpg-error,17
libbpf,"elfutils-libelf|glibc|zlib-ng-compat",19
libcap,filesystem|glibc|pam-libs,20
"libcap-ng",glibc,16
libcomps,expat|glibc|libxml2,20
libedit,"glibc|ncurses-libs",16
"libevent","glibc|openssl-libs",44
libffi,glibc,16
libgomp,glibc,16
"libidn2","glibc|libunistring",17
libksba,glibc|libgpg-error,17
"libmnl",glibc,16
libmodulemd,glib2|glibc|libgcc|libyaml|rpm-libs,85
"libnftnl","glibc|libmnl",17
"libnl3",glibc|libgcc,16
"libpkgconf",glibc,16
libpwquality,cracklib|glibc|pam-libs,46
librepo,"glib2|glibc|libcurl|libgcc|libxml2|openssl-libs|rpm-libs|zchunk-libs",85
libseccomp,glibc,16
"libsemanage","audit-libs|bzip2-libs|glibc|libselinux|libsepol",23
libsepol,glibc,16
libsolv,"bzip2-libs|glibc|libxml2|libzstd|rpm-libs|xz-libs|zchunk-libs|zlib-ng-compat",79
libstdc++,glibc|libgcc,16
"libtasn1",glibc,16
"libunistring",glibc,16
libxcrypt,glibc,16
"libxkbcommon","glibc|libxml2|xkeyboard-config",20
libxml2,"glibc|xz-libs|zlib-ng-compat",18
libyaml,glibc,16
diffutils,glibc,16
libgcc,,0
gawk,"bash|filesystem|glibc|gmp|mpfr|readline",19
grep,bash|glibc|pcre2,18
less,"bash|glibc|ncurses-libs",16
"nano","file-libs|glibc|ncurses-libs",18
"chrony","bash|filesystem|glibc|gnutls|libcap|libedit|libseccomp|nettle|systemd|tzdata",68
tzdata,,0
ca-certificates,"bash|coreutils|findutils|grep|libffi|p11-kit|p11-kit-trust|sed",44
p11-kit,"glibc|libffi|libtasn1",18
p11-kit-trust,"alternatives|bash|glibc|libtasn1|p11-kit",20
logrotate,"bash|coreutils|filesystem|glibc|libacl|libselinux|popt|systemd",63
"procps-ng","filesystem|glibc|ncurses-libs|systemd-libs",22
psmisc,"filesystem|glibc|ncurses-libs",16
expat,glibc,16
sqlite-libs,glibc,16
"man-db","alternatives|bash|coreutils|filesystem|gdbm-libs|glibc|grep|groff-base|gzip|less|libpipeline|zlib-ng-compat",50
cracklib,"bash|filesystem|glibc|gzip|zlib-ng-compat",45
cracklib-dicts,cracklib|filesystem,46
cryptsetup-libs,"device-mapper-libs|glibc|json-c|libblkid|libuuid|openssl-libs",65
elfutils-default-yama-scope,bash,16
elfutils-libelf,"glibc|libzstd|zlib-ng-compat",18
file,file-libs|glibc,18
file-libs,"glibc|zlib-ng-compat",17
gdbm,"gdbm-libs|glibc|readline",18
gmp,glibc,16
"gnupg2","bzip2-libs|glibc|gnupg2-dirmngr|gnupg2-gpg-agent|gnupg2-gpgconf|gnupg2-keyboxd|gnupg2-verify|libassuan|libgcrypt|libgpg-error|npth|readline|sqlite-libs|zlib-ng-compat",71
groff-base,"alternatives|bash|glibc|libgcc|libstdc++",18
"hostname",bash|glibc,16
"json-c",glibc,16
kbd,bash|glibc|kbd-legacy|kbd-misc|pam-libs,22
lmdb-libs,glibc,16
lua-libs,glibc,16
mpfr,glibc|gmp,17
"nettle",glibc|gmp,17
"npth",glibc,16
"openldap","cyrus-sasl-lib|glibc|libevent|libtool-ltdl|openssl-libs",49
pcre2,"glibc|pcre2-syntax",17
"pinentry","bash|glib2|glibc|libassuan|libgpg-error|libsecret|ncurses-libs",39
"pkgconf","glibc|libpkgconf",17
"pkgconf-m4",,0
"pkgconf-pkg-config","bash|pkgconf|pkgconf-m4",19
popt,glibc,16
"rsync","bash|glibc|libacl|libzstd|lz4-libs|openssl-libs|popt|xxhash-libs",48
systemd-pam,glibc|libcap|libgcc|pam-libs|systemd,62
systemd-resolved,"bash|filesystem|glibc|grep|libgcc|libidn2|openssl-libs|systemd|systemd-shared",64
tpm2-tss,"glibc|json-c|libusb1|libuuid|openssl-libs",47
userspace-rcu,glibc,16
"xkeyboard-config",,0
"zchunk-libs","glibc|libzstd|openssl-libs",45
acl,glibc|libacl,18
attr,glibc|libattr,17
cyrus-sasl,"bash|cyrus-sasl-lib|filesystem|gdbm-libs|glibc|krb5-libs|libxcrypt|openldap|openssl-libs|pam-libs|util-linux",65
"kernel-devel","bash|bison|elfutils-libelf-devel|findutils|flex|gcc|make|openssl-devel|perl-interpreter",154
"kernel-headers",,0
"kernel-tools","bash|filesystem|glibc|kernel-tools-libs|libcap|libnl3|ncurses-libs|pciutils-libs|python3",60
rpm-devel,"cmake-filesystem|glibc|pkgconf-pkg-config|popt|popt-devel|rpm|rpm-build-libs|rpm-libs|rpm-sign-libs",111
systemd-rpm-macros,,0
"bind-libs","fstrm|glibc|json-c|krb5-libs|libcom_err|libmaxminddb|libnghttp2|libuv|libxml2|lmdb-libs|openssl-libs|protobuf-c|zlib-ng-compat",57
"bind-license",,0
"bind-utils","bind-libs|filesystem|glibc|krb5-libs|libidn2|lmdb-libs|protobuf-c",60
"net-tools","bash|filesystem|glibc|libselinux|systemd",62
wget,,0
brotli,glibc|libbrotli,17
bzip2,bash|bzip2-libs|glibc,17
lz4,glibc,16
"unzip",bash|bzip2-libs|glibc,17
zlib,,0
emacs-filesystem,,0
"python3-pyyaml","glibc|libyaml|python3",58
"python3-asn1crypto","python3",57
"python3-blinker","python3",57
"python3-certifi","ca-certificates|python3",57
"python3-cffi","glibc|libffi|python3|python3-pycparser",59
"python3-cryptography","glibc|libgcc|openssl-libs|python3|python3-cffi",60
"python3-gpg","glibc|gpgme|python3",81
"python3-jwt","python3",57
"python3-netifaces","glibc|python3",57
"python3-packaging","python3",57
"python3-prettytable","python3|python3-wcwidth",58
"python3-pyOpenSSL","python3",57
"python3-pyasn1","python3",57
"python3-pycparser","python3|python3-ply",58
"python3-pyparsing","python3",57
"python3-wcwidth","python3",57
perl-Carp,perl-Exporter|perl-libs,105
perl-Class-Struct,perl-Carp|perl-Exporter|perl-libs,105
"perl-DynaLoader",perl-Carp|perl-libs|perl-vars,105
"perl-Encode","glibc|perl-Carp|perl-constant|perl-Exporter|perl-File-Basename|perl-Getopt-Long|perl-Getopt-Std|perl-interpreter|perl-libs|perl-MIME-Base64|perl-overload|perl-parent|perl-Storable|perl-vars",105
"perl-Errno",perl-Carp|perl-Exporter|perl-libs,105
perl-Exporter,perl-Carp|perl-libs,105
"perl-Fcntl",glibc|perl-Exporter|perl-libs,105
"perl-File-Basename",perl-Carp|perl-Exporter|perl-libs,105
perl-File-Path,"perl-Carp|perl-Exporter|perl-File-Basename|perl-libs|perl-PathTools|perl-vars",105
perl-File-Temp,"perl-Carp|perl-constant|perl-Errno|perl-Exporter|perl-Fcntl|perl-File-Path|perl-IO|perl-libs|perl-overload|perl-parent|perl-PathTools|perl-POSIX|perl-Scalar-List-Utils",105
"perl-Getopt-Long","perl-base|perl-constant|perl-Exporter|perl-libs|perl-overload|perl-Pod-Usage|perl-Text-ParseWords",105
perl-Getopt-Std,perl-Exporter|perl-libs,105
"perl-HTTP-Tiny","perl-Carp|perl-Errno|perl-Fcntl|perl-IO|perl-IO-Socket-SSL|perl-libs|perl-MIME-Base64|perl-Net-SSLeay|perl-Socket|perl-Time-Local",105
perl-IO,"glibc|perl-Carp|perl-Errno|perl-Exporter|perl-Fcntl|perl-File-stat|perl-libs|perl-PathTools|perl-SelectSaver|perl-Socket|perl-Symbol",105
"perl-IPC-Open3","perl-Carp|perl-constant|perl-Exporter|perl-Fcntl|perl-IO|perl-libs|perl-POSIX|perl-Symbol",105
perl-MIME-Base64,glibc|perl-Exporter|perl-libs,105
perl-NDBM_File,gdbm-libs|glibc|perl-libs,106
perl-POSIX,"glibc|perl-Carp|perl-Exporter|perl-Fcntl|perl-libs|perl-locale",105
perl-PathTools,"glibc|perl-Carp|perl-constant|perl-Errno|perl-Exporter|perl-libs|perl-Scalar-List-Utils",105
perl-Pod-Escapes,perl-Exporter|perl-libs|perl-vars,105
perl-Pod-Perldoc,"groff-base|perl-Carp|perl-Encode|perl-Fcntl|perl-File-Basename|perl-File-Temp|perl-HTTP-Tiny|perl-interpreter|perl-IO|perl-IPC-Open3|perl-libs|perl-parent|perl-PathTools|perl-podlators|perl-Pod-Simple|perl-Symbol|perl-Text-ParseWords|perl-vars",105
perl-Pod-Simple,"perl-Carp|perl-Encode|perl-File-Basename|perl-Getopt-Long|perl-if|perl-libs|perl-overload|perl-PathTools|perl-Pod-Escapes|perl-Symbol|perl-Text-Tabs+Wrap",105
perl-Pod-Usage,"perl-Carp|perl-Exporter|perl-Getopt-Long|perl-interpreter|perl-libs|perl-PathTools|perl-podlators|perl-Pod-Perldoc",105
perl-Scalar-List-Utils,glibc|perl-Exporter|perl-libs,105
perl-SelectSaver,perl-Carp|perl-libs|perl-Symbol,105
perl-Socket,glibc|perl-Carp|perl-Exporter|perl-libs,105
perl-Storable,"glibc|perl-Carp|perl-Exporter|perl-Fcntl|perl-IO|perl-libs",105
perl-Symbol,perl-Exporter|perl-libs,105
perl-Term-ANSIColor,perl-Exporter|perl-libs,105
perl-Term-Cap,"ncurses|perl-Carp|perl-libs|perl-vars",105
perl-Text-ParseWords,perl-Carp|perl-Exporter|perl-libs,105
perl-Text-Tabs+Wrap,perl-Exporter|perl-libs,105
perl-Time-Local,"perl-Carp|perl-constant|perl-Exporter|perl-libs|perl-parent",105
"perl-constant",perl-Carp|perl-libs,105
perl-if,perl-libs,105
"perl-interpreter",glibc|perl-libs,105
perl-libs,"glibc|libxcrypt|perl-Carp|perl-DynaLoader|perl-Encode|perl-Exporter|perl-PathTools",105
perl-locale,perl-Carp|perl-libs|perl-POSIX,105
perl-macros,"perl-interpreter",105
perl-mro,glibc|perl-libs,105
perl-overload,"perl-libs|perl-mro|perl-overloading|perl-Scalar-List-Utils",105
"perl-overloading",perl-Carp|perl-libs,105
"perl-parent",perl-libs,105
perl-podlators,"perl-Carp|perl-Encode|perl-Exporter|perl-File-Basename|perl-Getopt-Long|perl-interpreter|perl-libs|perl-parent|perl-PathTools|perl-Pod-Simple|perl-Pod-Usage|perl-POSIX|perl-Term-ANSIColor|perl-Term-Cap",105
perl-vars,perl-Carp|perl-libs,105
libcgroup,bash|glibc|shadow-utils|systemd,65
libdb,glibc,16
libestr,glibc,16
"libfastjson",glibc,16
"liblognorm","glibc|libestr|libfastjson|pcre2",20
librdkafka,"cyrus-sasl-lib|glibc|libgcc|libstdc++|libzstd|lz4-libs|openssl-libs|zlib-ng-compat",50
librelp,"glibc|gnutls|openssl-libs",48
libssh2,"glibc|openssl-libs|zlib-ng-compat",44
"libtraceevent",glibc,16
libuv,glibc,16
"autogen-libopts",glibc,16
libtool,"autoconf|automake|bash|findutils|gcc|sed|tar",167
make,glibc,16
vim,,0
rsyslog,"bash|filesystem|glibc|libcap-ng|libcurl|libestr|libfastjson|libgcc|libuuid|systemd-libs|zlib-ng-compat",66
"cronie","audit-libs|bash|coreutils|cronie-anacron|filesystem|glibc|libselinux|pam|pam-libs|sed",64
"cronie-anacron","bash|coreutils|cronie|crontabs|filesystem|glibc",64
"tini",glibc,16
postgresql-libs,,0
bc,"glibc|readline",17
"chkconfig","filesystem|glibc|libselinux|popt",21
elfutils,"bash|elfutils-debuginfod-client|elfutils-libelf|elfutils-libs|glibc|libarchive|libgcc|libstdc++",75
emacs,,0
libgc,,0
gdb,bash|gdb-headless,100
gdbm-devel,"gdbm|gdbm-libs|info",20
glib,glibc,16
"irqbalance","bash|filesystem|glib2|glibc|libcap-ng|ncurses-libs|numactl-libs|systemd-libs",43
iw,"filesystem|glibc|libnl3",17
"ncurses-term","ncurses-base",1
"newt","glibc|popt|slang",18
"nghttp2","bash|c-ares|glibc|libev|libgcc|libnghttp2|libstdc++|libxml2|openssl-libs|systemd|zlib-ng-compat",68
pcre2-tools,"glibc|pcre2|pcre2-utf16|pcre2-utf32|readline",21
popt-devel,"pkgconf-pkg-config|popt",21
"slang",glibc,16
strace,"bash|elfutils-libs|glibc|libselinux",27
tmux,"bash|glibc|libevent|libutempter|ncurses-libs|systemd-libs",50
wireless-regdb,bash|filesystem|iw|systemd|systemd-udev,80
"zchunk","glibc|libcurl|python3|zchunk-libs",76
libzstd,glibc,16
libcurl,"glibc|krb5-libs|libbrotli|libidn2|libnghttp2|libpsl|libssh|openldap|openssl-libs|zlib-ng-compat",62
krb5-libs,"coreutils|crypto-policies|glibc|keyutils-libs|libcom_err|libselinux|libverto|openssl-libs",47
basesystem,,0
"dracut-network","bash|dracut|iproute|iputils|jq|NetworkManager",120
filesystem,setup,8
grub2-efi-x64-modules,"grub2-common",51
grub2-efi-x64,"bash|efi-filesystem|grub2-common|grub2-tools|grub2-tools-minimal",102
shim,,0
system-release,,0
