package,dependencies,dep_count
WALinuxAgent,bash|systemd|python3|filesystem|openssl|logrotate|openssh|python3-distro|openssh-server|parted,10
acl,glibc|libacl,2
attr,glibc|libattr,2
audit,bash|systemd|coreutils|glibc|filesystem|krb5-libs|audit-libs,7
audit-libs,glibc|libcap-ng,2
autogen-libopts,glibc,1
azure-vm-utils,bash|glibc|filesystem|util-linux|json-c,5
bash,glibc|ncurses-libs|filesystem,3
bash-completion,bash,1
bc,glibc|readline,2
bind-libs,glibc|openssl-libs|libxml2|json-c|krb5-libs|lmdb-libs|libuv,7
bind-utils,glibc|filesystem|krb5-libs|lmdb-libs|libidn2|bind-libs,6
brotli,glibc,1
bzip2,glibc|bash|bzip2-libs,3
bzip2-libs,glibc,1
ca-certificates,bash|coreutils|grep|sed|findutils|libffi|p11-kit|p11-kit-trust,8
chkconfig,glibc|filesystem|libselinux|popt,4
chrony,bash|systemd|chrony|glibc|filesystem|gnutls|libseccomp|libcap|tzdata|libedit|nettle,11
cloud-init,bash|systemd|python3|python3-requests|util-linux|python3-pyyaml|openssl|python3-jinja2|shadow-utils|iproute|python3-jsonschema|e2fsprogs|hostname|procps-ng|xfsprogs|python3-configobj|dhcpcd|python3-jsonpatch|python3-oauthlib,19
cloud-utils-growpart,bash|util-linux|gawk,3
coreutils,glibc|gmp|openssl-libs|filesystem|systemd-libs|libselinux|libcap|libacl|libattr,9
cpio,glibc,1
cracklib,glibc|bash|filesystem|gzip,4
cracklib-dicts,filesystem|cracklib,2
cronie,bash|coreutils|sed|glibc|filesystem|libselinux|audit-libs|cronie-anacron|pam,9
cronie-anacron,bash|coreutils|glibc|filesystem|cronie,5
cryptsetup,glibc|filesystem|popt|cryptsetup-libs|libpwquality,5
cryptsetup-libs,glibc|openssl-libs|json-c|device-mapper-libs,4
curl,glibc|libcurl,2
cyrus-sasl,bash|glibc|filesystem|openssl-libs|libxcrypt|openldap|krb5-libs|cyrus-sasl-lib|util-linux,9
cyrus-sasl-lib,glibc|filesystem|libxcrypt,3
dbus,,0
device-mapper,glibc|bash|filesystem|device-mapper-libs|systemd,5
device-mapper-event,bash|systemd|glibc|libgcc|filesystem|device-mapper-libs|device-mapper-event-libs|device-mapper,8
device-mapper-event-libs,glibc|device-mapper-libs,2
device-mapper-libs,glibc|systemd-libs|libselinux|device-mapper,4
dhcpcd,bash|systemd|glibc|filesystem|systemd-libs,5
diffutils,glibc,1
dnf-data,,0
dnf-plugins-core,,0
dracut,glibc|libgcc|bash|openssl-libs|coreutils|grep|sed|xz|findutils|procps-ng|kmod|zstd|cpio|filesystem|systemd|systemd-udev|util-linux,17
dracut-kiwi-oem-repart,bash,1
dracut-network,bash|iproute|iputils|dracut,4
e2fsprogs,glibc|filesystem|e2fsprogs-libs,3
e2fsprogs-libs,glibc,1
elfutils,glibc|libstdc++|libgcc|bash|libarchive|elfutils-libelf,6
elfutils-default-yama-scope,bash,1
elfutils-libelf,glibc|libzstd,2
emacs,,0
expat,glibc,1
file,glibc|file-libs,2
file-libs,glibc,1
filesystem,,0
findutils,glibc|libselinux,2
gawk,glibc|bash|gmp|readline|mpfr|filesystem,6
gdb,bash,1
gdbm,glibc|readline,2
gdbm-devel,gdbm,1
glib,glibc,1
glibc,filesystem|libgcc,2
glibc-langpack-en,glibc,1
gmp,glibc,1
gnupg2,glibc|sqlite-libs|readline|bzip2-libs|libgcrypt|libgpg-error|libassuan|npth,8
gnutls,glibc|gmp|libunistring|nettle|libidn2|p11-kit|libtasn1|p11-kit-trust,8
gpgme,glibc|libgpg-error|libassuan|gnupg2,4
grep,glibc|bash|pcre2,3
groff-base,bash|glibc|libstdc++|libgcc,4
grub2-efi-x64,bash|grub2-tools-minimal,2
grub2-efi-x64-modules,,0
grub2-tools-minimal,glibc|bash|filesystem|xz-libs|device-mapper-libs,5
grubby,bash|filesystem|util-linux|findutils|grub2-tools-minimal,5
gzip,glibc|bash|coreutils,3
hostname,bash|glibc,2
hyperv-daemons,hypervfcopyd|hypervkvpd|hypervvssd,3
hypervfcopyd,bash|systemd|glibc|filesystem|hyperv-daemons-license,5
hypervkvpd,bash|systemd|glibc|filesystem|hyperv-daemons-license,5
hypervvssd,bash|systemd|glibc|filesystem|hyperv-daemons-license,5
iproute,glibc|filesystem|libselinux|libcap|elfutils-libelf|libbpf|psmisc|libmnl,8
iputils,glibc|filesystem|libcap|libidn2,4
irqbalance,bash|glibc|filesystem|systemd-libs|libcap-ng|ncurses-libs,6
iw,glibc|filesystem|libnl3,3
json-c,glibc,1
kbd,glibc|bash,2
kernel,kernel-modules,1
kernel-devel,bash|findutils|perl-interpreter|make,4
kernel-modules,bash,1
kernel-tools,glibc|bash|python3|filesystem|ncurses-libs|libcap|libnl3|pciutils-libs|python3-jsonschema|python3-pyyaml,10
kmod,glibc|libgcc|pkgconf-pkg-config|filesystem|openssl-libs|libzstd|xz-libs,7
krb5-libs,glibc|openssl-libs|coreutils|libselinux,4
less,glibc|bash|ncurses-libs,3
libacl,glibc|libattr,2
libaio,glibc,1
libarchive,glibc|openssl-libs|libxml2|libzstd|xz-libs|bzip2-libs|libacl,7
libassuan,glibc|libgpg-error,2
libattr,glibc,1
libbpf,glibc|elfutils-libelf,2
libcap,glibc|filesystem,2
libcap-ng,glibc,1
libcgroup,systemd|shadow-utils|glibc|bash,4
libcomps,glibc|libxml2|expat,3
libcurl,glibc|openssl-libs|openldap|krb5-libs|libidn2,5
libdb,glibc,1
libdnf,glibc|libstdc++|libgcc|sqlite-libs|json-c|rpm-libs|libsolv|libmodulemd|librepo,9
libedit,glibc|ncurses-libs,2
libestr,glibc,1
libevent,glibc|openssl-libs,2
libfastjson,glibc,1
libffi,glibc,1
libgcrypt,glibc|libgpg-error,2
libgomp,glibc,1
libgpg-error,glibc,1
libidn2,glibc|libunistring,2
libksba,glibc|libgpg-error,2
liblognorm,glibc|pcre2|libfastjson|libestr,4
libmnl,glibc,1
libmodulemd,glibc|libgcc|rpm-libs|libyaml,4
libnftnl,glibc|libmnl,2
libnl3,glibc|libgcc,2
libpkgconf,glibc,1
libpwquality,glibc|cracklib,2
librdkafka,glibc|libgcc|libstdc++|openssl-libs|libzstd|cyrus-sasl-lib,6
librelp,glibc|openssl-libs|gnutls,3
librepo,glibc|libgcc|openssl-libs|libxml2|libcurl|rpm-libs|zchunk-libs,7
libseccomp,glibc,1
libselinux,glibc|pcre2|libsepol,3
libsemanage,glibc|bzip2-libs|libselinux|audit-libs|libsepol,5
libsepol,glibc,1
libsolv,glibc|libxml2|libzstd|xz-libs|bzip2-libs|rpm-libs|zchunk-libs,7
libssh2,glibc|openssl-libs,2
libstdc++,glibc|libgcc,2
libtasn1,glibc,1
libtool,bash|tar|sed|findutils,4
libtraceevent,glibc,1
libunistring,glibc,1
libuv,glibc,1
libxcrypt,glibc,1
libxkbcommon,glibc|libxml2|xkeyboard-config,3
libxml2,glibc|xz-libs,2
libyaml,glibc,1
libzstd,glibc,1
lmdb-libs,glibc,1
logrotate,bash|systemd|glibc|filesystem|coreutils|libselinux|popt|libacl,8
lua-libs,glibc,1
lvm2,bash|systemd|glibc|filesystem|systemd-libs|libselinux|libaio|libedit|kmod|device-mapper-event-libs,10
lz4,glibc,1
make,glibc,1
man-db,bash|glibc|filesystem|coreutils|grep|gzip|less|groff-base,8
mpfr,glibc|gmp,2
nano,glibc|ncurses-libs|file-libs,3
ncurses,glibc|ncurses-libs,2
ncurses-libs,glibc|ncurses-base,2
ncurses-term,ncurses-base,1
net-tools,bash|systemd|glibc|filesystem|libselinux,5
nettle,glibc|gmp,2
newt,glibc|popt|slang,3
nghttp2,bash|systemd|glibc|libgcc|libstdc++|openssl-libs|libxml2,7
npth,glibc,1
openldap,glibc|openssl-libs|cyrus-sasl-lib|libevent,4
openssh,glibc|openssl-libs|libselinux|util-linux|audit-libs,5
openssh-clients,bash|glibc|openssl-libs|libselinux|krb5-libs|libedit|openssh,7
openssh-server,bash|systemd|shadow-utils|glibc|openssl-libs|filesystem|libselinux|libxcrypt|krb5-libs|audit-libs|openssh|pam,12
openssl,glibc|openssl-libs|coreutils,3
openssl-libs,glibc|ca-certificates,2
p11-kit,glibc|libffi|libtasn1,3
p11-kit-trust,bash|glibc|p11-kit|libtasn1,4
pam,glibc|bash|openssl-libs|filesystem|libselinux|libxcrypt|audit-libs|gdbm|libpwquality,9
parted,glibc|filesystem|ncurses-libs|readline|device-mapper-libs,5
pciutils-libs,glibc,1
pcre2,glibc,1
pcre2-tools,glibc|readline|pcre2,3
perl-Carp,perl-libs|perl-Carp|perl-Exporter,3
perl-Class-Struct,perl-libs|perl-Carp|perl-Exporter,3
perl-DynaLoader,perl-libs|perl-Carp|perl-vars,3
perl-Encode,glibc|perl-libs|perl-Carp|perl-interpreter|perl-vars|perl-constant|perl-Getopt-Long|perl-File-Basename|perl-overload|perl-Encode|perl-Storable|perl-MIME-Base64|perl-Getopt-Std|perl-Exporter|perl-parent,15
perl-Errno,perl-libs|perl-Carp|perl-Exporter,3
perl-Exporter,perl-libs|perl-Carp,2
perl-Fcntl,glibc|perl-libs|perl-Exporter,3
perl-File-Basename,perl-libs|perl-Carp|perl-Exporter,3
perl-File-Path,perl-libs|perl-Carp|perl-Exporter|perl-vars|perl-PathTools|perl-File-Basename,6
perl-File-Temp,perl-libs|perl-Carp|perl-constant|perl-Scalar-List-Utils|perl-POSIX|perl-overload|perl-PathTools|perl-IO|perl-Errno|perl-Exporter|perl-parent|perl-File-Path|perl-Fcntl,13
perl-Getopt-Long,perl-libs|perl-Exporter|perl-constant|perl-Getopt-Long|perl-overload|perl-Text-ParseWords|perl-Pod-Usage,7
perl-Getopt-Std,perl-libs|perl-Exporter,2
perl-HTTP-Tiny,perl-libs|perl-Carp|perl-Fcntl|perl-Socket|perl-MIME-Base64|perl-Errno|perl-IO|perl-Time-Local,8
perl-IO,glibc|perl-libs|perl-Carp|perl-Exporter|perl-PathTools|perl-Fcntl|perl-IO|perl-Symbol|perl-Errno|perl-SelectSaver|perl-Socket,11
perl-IPC-Open3,perl-libs|perl-Carp|perl-Exporter|perl-constant|perl-POSIX|perl-Fcntl|perl-Symbol|perl-IPC-Open3|perl-IO,9
perl-MIME-Base64,glibc|perl-libs|perl-Exporter|perl-MIME-Base64,4
perl-NDBM_File,glibc|perl-libs,2
perl-POSIX,glibc|perl-libs|perl-Carp|perl-Exporter|perl-Fcntl|perl-locale,6
perl-PathTools,glibc|perl-libs|perl-Carp|perl-Exporter|perl-constant|perl-PathTools|perl-Scalar-List-Utils|perl-Errno,8
perl-Pod-Escapes,perl-libs|perl-Exporter|perl-vars,3
perl-Pod-Perldoc,perl-libs|perl-Carp|perl-interpreter|perl-vars|perl-File-Basename|perl-Encode|perl-parent|perl-Fcntl|perl-IO|perl-PathTools|perl-Symbol|perl-IPC-Open3|perl-Text-ParseWords|perl-HTTP-Tiny|perl-podlators|groff-base|perl-Pod-Perldoc|perl-Pod-Simple|perl-File-Temp,19
perl-Pod-Simple,perl-libs|perl-Carp|perl-PathTools|perl-Getopt-Long|perl-File-Basename|perl-overload|perl-Encode|perl-Symbol|perl-if|perl-Pod-Simple|perl-Text-Tabs+Wrap|perl-Pod-Escapes,12
perl-Pod-Usage,perl-libs|perl-Carp|perl-interpreter|perl-Exporter|perl-Getopt-Long|perl-Pod-Usage|perl-Pod-Perldoc|perl-PathTools|perl-podlators,9
perl-Scalar-List-Utils,glibc|perl-libs|perl-Exporter|perl-Scalar-List-Utils,4
perl-SelectSaver,perl-libs|perl-Carp|perl-Symbol,3
perl-Socket,glibc|perl-libs|perl-Carp|perl-Exporter,4
perl-Storable,glibc|perl-libs|perl-Carp|perl-Exporter|perl-Fcntl|perl-IO,6
perl-Symbol,perl-libs|perl-Exporter,2
perl-Term-ANSIColor,perl-libs|perl-Exporter,2
perl-Term-Cap,perl-libs|perl-Carp|perl-vars|ncurses,4
perl-Text-ParseWords,perl-libs|perl-Carp|perl-Exporter,3
perl-Text-Tabs+Wrap,perl-libs|perl-Exporter|perl-Text-Tabs+Wrap,3
perl-Time-Local,perl-libs|perl-Carp|perl-Exporter|perl-constant|perl-parent,5
perl-constant,perl-libs|perl-Carp,2
perl-if,perl-libs,1
perl-interpreter,perl-libs|glibc,2
perl-libs,glibc|perl-libs|perl-Carp|perl-Exporter|perl-PathTools|perl-Encode|perl-DynaLoader|libxcrypt,8
perl-locale,perl-libs|perl-Carp|perl-POSIX,3
perl-macros,perl-interpreter,1
perl-mro,glibc|perl-libs,2
perl-overload,perl-libs|perl-Scalar-List-Utils|perl-mro|perl-overloading,4
perl-overloading,perl-libs|perl-Carp,2
perl-parent,perl-libs,1
perl-podlators,perl-libs|perl-Carp|perl-interpreter|perl-Exporter|perl-Getopt-Long|perl-File-Basename|perl-POSIX|perl-Encode|perl-parent|perl-Pod-Usage|perl-Term-ANSIColor|perl-podlators|perl-Term-Cap|perl-PathTools|perl-Pod-Simple,15
perl-vars,perl-libs|perl-Carp,2
pinentry,glibc|bash|ncurses-libs|libgpg-error|libassuan,5
pkgconf,glibc|libpkgconf,2
pkgconf-pkg-config,bash|pkgconf-m4|pkgconf,3
policycoreutils,bash|glibc|filesystem|coreutils|libselinux|util-linux|grep|audit-libs|sed|gawk|diffutils|libsemanage|libsepol,13
popt,glibc,1
popt-devel,pkgconf-pkg-config|popt,2
procps-ng,glibc|filesystem|systemd-libs|ncurses-libs,4
psmisc,glibc|filesystem|ncurses-libs,3
python3,glibc|python3-libs,2
python3-asn1crypto,python3,1
python3-blinker,python3,1
python3-certifi,ca-certificates|python3,2
python3-cffi,glibc|libffi|python3-pycparser|python3,4
python3-charset-normalizer,python3,1
python3-configobj,python3,1
python3-cryptography,glibc|libgcc|openssl-libs|python3|python3-cffi,5
python3-dbus,glibc|python3,2
python3-distro,python3,1
python3-dnf,python3|python3-libdnf|dnf-data|libmodulemd|python3-hawkey|python3-libcomps|python3-rpm,7
python3-gpg,glibc|gpgme|python3,3
python3-hawkey,glibc|libstdc++|libgcc|python3-libs|libsolv|libdnf|python3|python3-libdnf,8
python3-idna,python3,1
python3-jinja2,python3|python3-markupsafe,2
python3-jsonpatch,python3|python3-jsonpointer,2
python3-jsonpointer,python3,1
python3-jsonschema,python3,1
python3-jwt,python3,1
python3-libcomps,glibc|python3-libs|libcomps|python3,4
python3-libdnf,glibc|libstdc++|libgcc|python3-libs|libdnf|python3,6
python3-libs,glibc|bash|openssl-libs|sqlite-libs|libzstd|ncurses-libs|readline|expat|xz-libs|bzip2-libs|libffi|tzdata,12
python3-markupsafe,glibc|python3,2
python3-netifaces,glibc|python3,2
python3-oauthlib,python3,1
python3-packaging,python3,1
python3-prettytable,python3-wcwidth|python3,2
python3-pyOpenSSL,python3|python3-cryptography,2
python3-pyasn1,python3,1
python3-pycparser,python3,1
python3-pyparsing,python3,1
python3-pyyaml,glibc|libyaml|python3,3
python3-requests,python3|python3-charset-normalizer|python3-idna|python3-urllib3,4
python3-rpm,glibc|rpm-libs|rpm-build-libs|python3,4
python3-setuptools,python3,1
python3-six,python3,1
python3-urllib3,ca-certificates|python3-idna|python3,3
python3-wcwidth,python3,1
readline,glibc|ncurses-libs,2
rpm,bash|glibc|coreutils|popt|libarchive|rpm-libs|curl,7
rpm-build-libs,glibc|libstdc++|libgcc|libgomp|libcap|popt|rpm-libs|elfutils-libelf|lua-libs|file-libs,10
rpm-devel,glibc|pkgconf-pkg-config|popt|rpm-libs|rpm-build-libs|popt-devel|rpm,7
rpm-libs,glibc|libstdc++|libgcc|sqlite-libs|libzstd|xz-libs|bzip2-libs|libcap|popt|libacl|lua-libs|rpm,12
rsync,glibc|bash|openssl-libs|libzstd|popt|libacl,6
rsyslog,bash|glibc|libgcc|filesystem|libcurl|systemd-libs|libcap-ng|libfastjson|libestr,9
sed,glibc|libselinux|libacl,3
selinux-policy-targeted,bash|coreutils|policycoreutils,3
shadow-utils,glibc|filesystem|libxcrypt|libselinux|libacl|audit-libs|libsemanage,7
shadow-utils-subid,glibc|libxcrypt|libselinux|libacl|audit-libs|libattr|libsemanage,7
slang,glibc,1
sqlite-libs,glibc,1
strace,glibc|bash|libselinux,3
sudo,glibc|openssl-libs|filesystem|libselinux|openldap|audit-libs|pam,7
systemd,bash|coreutils|grep|openssl-libs|glibc|libgcc|filesystem|libselinux|libseccomp|libcap|libacl|audit-libs|systemd-libs|systemd-rpm-macros|dbus|libbpf|util-linux|systemd-pam,18
systemd-libs,glibc|libgcc|libcap,3
systemd-networkd,bash|glibc|libgcc|systemd,4
systemd-pam,glibc|libgcc|libcap|systemd,4
systemd-resolved,bash|grep|glibc|libgcc|openssl-libs|filesystem|libidn2|systemd,8
systemd-udev,bash|grep|systemd|glibc|libgcc|openssl-libs|filesystem|libselinux|cryptsetup-libs|kbd|grubby|kmod,12
tar,glibc|libselinux|libacl,3
tini,glibc,1
tmux,bash|glibc|systemd-libs|ncurses-libs|libevent,5
tpm2-tss,glibc|openssl-libs|json-c,3
unzip,glibc|bash|bzip2-libs,3
userspace-rcu,glibc,1
util-linux,bash|coreutils|glibc|libgcc|filesystem|systemd-libs|ncurses-libs|readline|libselinux|audit-libs|libcap-ng|pam,12
which,glibc|coreutils,2
wireless-regdb,bash|filesystem|systemd-udev|iw|systemd,5
xfsprogs,glibc|bash|filesystem|libedit|userspace-rcu,5
xz,glibc|bash|xz-libs|grep,4
xz-libs,glibc,1
zchunk,glibc|python3|libcurl|zchunk-libs,4
zchunk-libs,glibc|openssl-libs|libzstd,3
zstd,glibc|libgcc|libstdc++|bash|xz-libs,5
